#OTU ID,AB2a143A,AB2a143B,AB2a200A,AB2a200B,AB2a237A,AB2a237B,AB2a247A,AB2a247B,AB2a267A,AB2a267B,AB2a900A,AB2a900B,AB2b143A,AB2b143B,AB2b200A,AB2b200B,AB2b237A,AB2b237B,AB2b247A,AB2b247B,AB2b267A,AB2b267B,AB2b900A,AB2b900B,taxonomy
denovo69934,1,0,0,0,273,0,1822,50,5464,1,83,9,2,0,11,0,103,1,1378,0,228,32,60,5,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Desulfobacteraceae;  __Desulfobacula;  __uncultured_bacterium
denovo322805,5,0,0,0,513,1,2099,161,4715,2,248,23,4,0,40,0,268,0,968,11,232,92,154,10,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Desulfobulbaceae;  __uncultured;  __uncultured_Desulfobulbaceae_bacterium
denovo273185,105,1363,0,1613,226,756,124,384,29,732,0,0,18,974,164,2444,108,1157,59,1190,5,443,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __PAUC34f;  __uncultured_bacterium_HF0500_16O16
denovo279114,603,275,0,547,405,28,22,6,1,13,0,2,116,148,2529,1280,99,49,21,13,1,0,0,1,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __OM182_clade;  __uncultured_gamma_proteobacterium
denovo312989,55,2719,0,806,15,26,2,1,3,1,0,0,51,1255,107,1686,3,44,0,3,0,0,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __SAR86_clade;  __marine_metagenome
denovo313380,2292,624,0,155,355,0,13,0,0,0,0,0,453,542,2255,352,154,6,9,0,0,0,0,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __NS9_marine_group;  __uncultured_bacterium
denovo305990,2,0,0,0,17,2,22,10,110,2,3097,1674,0,0,13,0,6,0,30,3,3,3,2350,3198,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfarculales;  __Desulfarculaceae;  __uncultured;  __uncultured_bacterium
denovo348708,2591,104,0,76,115,0,9,0,7,0,3,0,555,91,2128,62,71,2,5,2,0,0,3,0,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Planctomyces;  __uncultured_planctomycete
denovo288670,337,253,0,345,3037,153,926,1,225,63,1,0,88,141,2437,619,1340,227,489,59,13,3,1,2,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __KI89A_clade;  __uncultured_gamma_proteobacterium
denovo197488,9,0,0,0,15,0,46,0,178,0,7264,26,10,0,35,0,8,0,18,0,11,0,3739,21,Bacteria;  __Planctomycetes;  __Phycisphaerae;  __MSBL9;  __uncultured_planctomycete
denovo399783,1030,39,0,19,301,1,75,0,16,1,4,0,437,13,911,0,100,5,46,0,1,0,4,0,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_planctomycete
denovo340025,919,694,0,183,486,133,100,48,8,128,1,1,81,411,898,332,106,214,127,189,1,18,1,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __OM182_clade;  __uncultured_marine_microorganism
denovo364310,491,228,0,1627,1775,125,126,2,26,10,1,0,98,160,6329,2309,975,297,112,7,2,0,8,2,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Planctomyces;  __uncultured_bacterium
denovo269395,0,0,0,0,17,2,4,7,5,10,623,5688,0,1,7,1,2,9,4,14,2,14,889,3320,Bacteria;  __Candidate_division_OP3;  __uncultured_bacterium
denovo439487,375,1856,0,1112,164,68,1,3,0,13,0,1,123,830,821,2393,32,119,1,17,0,2,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __SAR86_clade;  __uncultured_SAR86_cluster_bacterium
denovo63165,3326,81,0,65,393,1,95,0,7,0,1,0,848,59,3471,7,517,0,20,0,0,0,7,3,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Planctomyces;  __uncultured_bacterium
denovo380196,204,758,0,731,465,212,30,0,1,15,0,0,32,392,511,913,176,316,74,20,0,0,0,0,Bacteria;  __Verrucomicrobia;  __Arctic97B-4_marine_group;  __uncultured_marine_microorganism
denovo218428,217,1382,0,1328,463,265,99,6,12,104,0,3,74,1053,526,1975,138,545,69,222,0,4,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Salinisphaerales;  __Salinisphaeraceae;  __ZD0417_marine_group;  __uncultured_bacterium
denovo444915,6,1,0,42,1969,244,1829,395,302,367,14,36,0,3,184,97,1118,591,2296,503,21,442,4,31,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rickettsiales;  __SAR116_clade;  __uncultured_alpha_proteobacterium
denovo300513,0,5,0,3,5,10,7,28,15,7,715,4492,0,2,0,13,4,5,1,16,1,25,941,1834,Bacteria;  __Candidate_division_OP3;  __uncultured_bacterium
denovo317521,10,0,0,0,219,15,481,420,934,76,151,358,2,0,39,0,81,26,346,146,49,511,144,213,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Desulfobulbaceae;  __MSBL7;  __uncultured_bacterium
denovo405307,1,0,0,1,33,3,14,26,67,35,1213,4707,0,0,4,0,12,19,17,46,5,42,786,1930,Bacteria;  __Candidate_division_OP3;  __uncultured_bacterium
denovo319765,1064,78,0,54,677,3,17,0,1,0,1,0,372,105,1241,194,485,3,11,1,0,0,1,2,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Cryomorphaceae;  __Owenweeksia;  __uncultured_Bacteroidetes_bacterium
denovo222577,133,3,0,34,3757,4,678,0,5,0,1,0,43,0,3850,15,1788,10,485,1,1,0,4,0,Bacteria;  __Planctomycetes;  __Pla3_lineage;  __uncultured_bacterium
denovo294767,0,0,0,0,0,0,3417,2417,9507,160,2,0,0,0,4,0,438,101,3,0,2,3,0,0,Bacteria;  __Proteobacteria;  __Betaproteobacteria;  __Burkholderiales;  __Oxalobacteraceae;  __Herbaspirillum;  __uncultured_bacterium
denovo174104,88,366,1,371,36,16,0,0,0,1,0,0,8,230,104,502,22,25,0,0,0,0,0,0,Bacteria;  __Verrucomicrobia;  __Arctic97B-4_marine_group;  __uncultured_organism
denovo121574,722,974,1,1337,569,92,19,1,3,9,0,1,97,808,2169,2894,279,173,21,23,0,0,0,1,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Xanthomonadales;  __Sinobacteraceae;  __JTB255_marine_benthic_group;  __uncultured_bacterium
denovo281767,0,1,0,49,28,288,65,700,14,451,0,0,0,3,4,10,20,709,9,1935,15,1725,0,1,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Chromatiales;  __Ectothiorhodospiraceae;  __Thiorhodospira;  __uncultured_bacterium
denovo109387,1035,25,0,23,378,5,45,6,1,16,2,12,110,9,487,10,416,46,3,0,0,0,156,28,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Sphingomonadales;  __Erythrobacteraceae;  __Erythrobacter;  __Erythrobacter_sp._OB56
denovo479522,448,172,1,91,544,50,218,1,3,50,4,5,56,146,433,241,296,86,99,41,0,5,1,6,Bacteria;  __Lentisphaerae;  __Lentisphaeria;  __Lentisphaerales;  __Lentisphaeraceae;  __Lentisphaera;  __Lentisphaera_sp._IMCC11389
denovo32260,4,0,0,0,121,1,1073,14,2579,0,107,0,3,0,18,0,129,0,347,0,143,0,44,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Pseudomonadales;  __Pseudomonadaceae;  __Pseudomonas;  __uncultured_bacterium
denovo216486,743,4,0,15,300,0,100,0,17,0,3,0,1855,4,5622,3,169,1,79,0,4,0,4,0,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_bacterium
denovo332841,237,266,0,24,415,18,248,7,34,6,65,45,581,189,660,47,175,11,75,8,5,1,68,17,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Alteromonadales;  __Pseudoalteromonadaceae;  __Pseudoalteromonas;  __Pseudoalteromonas_sp._BK5
denovo808,649,214,0,137,102,8,0,0,0,0,0,0,254,109,1036,304,21,3,0,0,0,0,0,0,Bacteria;  __Verrucomicrobia;  __Arctic97B-4_marine_group;  __uncultured_marine_microorganism
denovo12858,6,0,0,3,9,5,35,13,33,0,4313,792,6,0,2,1,4,1,11,4,3,12,2371,3503,Bacteria;  __Nitrospirae;  __Nitrospira;  __Nitrospirales;  __OPB95;  __uncultured_bacterium
denovo176856,27,2,0,2,31,3,23,0,6,3,0,3,10,3,28,0,15,5,13,0,0,0,1,1,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Alteromonadales;  __Colwelliaceae;  __Colwellia;  __uncultured_gamma_proteobacterium
denovo113,81,45,0,11,68,1,4,0,1,0,0,0,8,35,78,67,11,4,0,0,0,0,1,0,Bacteria;  __Bacteroidetes;  __Cytophagia;  __Cytophagales;  __Flammeovirgaceae;  __Reichenbachiella;  __uncultured_organism
denovo142186,89,47,0,16,52,3,15,0,5,2,11,12,64,24,81,44,20,7,7,0,0,1,6,4,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Flavobacteriaceae;  __Tenacibaculum;  __Cytophaga;  __Cytophaga_sp._IAJ12
denovo179802,300,12,0,18,25,0,13,0,6,0,0,0,69,8,557,11,20,0,7,0,1,0,0,0,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Planctomyces;  __uncultured_bacterium
denovo201515,77,1,0,11,2931,0,691,0,115,0,0,0,26,0,2554,0,1728,0,516,0,4,0,2,0,Bacteria;  __Planctomycetes;  __Pla3_lineage;  __uncultured_planctomycete
denovo476046,4,0,0,1,19,3,20,10,42,15,2243,3741,0,0,2,0,9,13,9,18,2,5,1513,1115,Bacteria;  __Candidate_division_OP3;  __uncultured_organism
denovo145160,118,87,0,112,1262,35,4218,31,554,180,0,2,26,84,401,82,676,110,2526,349,23,36,2,0,Bacteria;  __Planctomycetes;  __Phycisphaerae;  __Phycisphaerales;  __Phycisphaeraceae;  __JL-ETNP-F27;  __uncultured_bacterium
denovo257704,4,0,0,0,7,1,9,7,12,2,1168,3360,0,0,5,0,0,2,7,3,2,7,1111,2347,Bacteria;  __Candidate_division_OP3;  __uncultured_bacterium
denovo298478,78,4,0,37,2476,11,1122,0,455,3,3,2,46,1,2672,8,2559,26,391,8,42,0,9,2,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Blastopirellula;  __uncultured_planctomycete
denovo63421,0,0,0,2,25,198,67,1119,3,1255,0,0,0,0,1,1,8,426,6,2778,9,2761,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_bacterium
denovo264834,930,127,0,30,976,4,3753,7,742,13,12,17,132,128,257,31,562,6,1529,59,26,21,4,9,Bacteria;  __Planctomycetes;  __Phycisphaerae;  __Phycisphaerales;  __Phycisphaeraceae;  __FS140-16B-02_marine_group;  __uncultured_bacterium
denovo339775,281,29,0,9,257,7,97,4,47,8,28,9,148,15,278,20,127,6,40,13,0,1,23,19,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __Flavobacteriaceae;  __Winogradskyella;  __uncultured_bacterium
denovo158369,434,450,0,536,262,54,235,44,62,34,502,423,206,317,585,238,261,62,138,44,7,31,307,276,Bacteria;  __Cyanobacteria;  __SubsectionI;  __FamilyI;  __Synechococcus;  __uncultured_cyanobacterium
denovo434092,12,0,0,0,41,0,576,1,1455,2,2398,1,1,0,23,0,20,1,233,0,63,1,1219,3,Bacteria;  __Planctomycetes;  __Phycisphaerae;  __MSBL9;  __uncultured_deep-sea_bacterium
denovo336146,2893,40,0,45,155,0,0,0,0,0,1,0,598,32,5156,30,133,0,3,0,1,0,4,5,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_bacterium
denovo411504,54,283,0,452,192,41,31,15,4,29,6,12,7,120,221,805,43,77,22,36,1,1,5,8,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Alteromonadales;  __Alteromonadaceae;  __SAR92_clade;  __uncultured_SAR92_clade_bacterium
denovo393794,760,2,0,16,162,0,58,0,1,0,0,0,2060,14,7027,46,119,0,10,1,1,0,0,1,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __uncultured;  __uncultured_bacterium
denovo29875,137,389,0,389,1631,314,1639,74,887,251,0,7,27,322,312,801,961,766,759,502,41,113,2,3,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Xanthomonadales;  __Sinobacteraceae;  __JTB255_marine_benthic_group;  __uncultured_bacterium
denovo217146,932,9,0,13,2099,0,567,0,25,1,1,1,169,2,1313,4,1301,0,377,3,0,0,2,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Sh765B-TzT-29;  __uncultured_delta_proteobacterium
denovo144350,40,706,1,482,656,425,507,444,41,490,0,2,14,450,115,1469,366,1125,351,1492,5,572,0,1,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rhodospirillales;  __Rhodospirillaceae;  __Defluviicoccus;  __uncultured_alpha_proteobacterium
denovo310075,247,895,0,930,653,291,118,2,5,85,0,0,34,487,1087,3602,347,664,154,207,1,1,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rhodospirillales;  __Rhodospirillaceae;  __Defluviicoccus;  __uncultured_alpha_proteobacterium
denovo184738,3,2,0,1,38,10,64,112,60,34,870,2738,0,0,17,13,16,18,67,81,6,222,842,1680,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Desulfobacteraceae;  __SEEP-SRB1;  __uncultured_delta_proteobacterium
denovo344884,2286,13,0,32,1275,0,330,0,21,0,1,0,542,8,3614,7,775,0,219,0,2,0,7,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Sh765B-TzT-29;  __uncultured_bacterium
denovo236684,126,1362,0,197,5,3,0,0,0,0,2,0,39,1066,32,280,5,10,0,1,0,1,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Salinisphaerales;  __Salinisphaeraceae;  __ZD0417_marine_group;  __uncultured_gamma_proteobacterium_HF0130_22O14
denovo438348,1016,78,0,13,73,1,16,0,2,0,4,0,252,85,515,44,32,0,6,0,1,0,2,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __NS9_marine_group;  __uncultured_Flavobacteriia_bacterium
denovo401477,46,215,2,2041,86,224,110,2,10,52,1,0,8,143,220,3169,59,357,103,99,0,1,0,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Nitrospinaceae;  __Nitrospina;  __uncultured_bacterium
denovo188871,0,0,0,0,3,0,51,0,91,0,2457,3,6,0,18,0,1,0,22,0,8,0,2375,1,Bacteria;  __Chloroflexi;  __Anaerolineae;  __Anaerolineales;  __Anaerolineaceae;  __uncultured;  __uncultured_bacterium
denovo161868,1192,477,0,36,171,4,37,1,5,0,1,0,275,322,858,54,67,5,20,0,0,0,0,0,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Rhodopirellula;  __uncultured_bacterium
denovo266419,108,11,0,99,1847,383,2237,369,157,514,0,0,5,16,166,297,1034,736,811,872,17,279,1,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rhodospirillales;  __Rhodospirillaceae;  __uncultured;  __uncultured_bacterium
denovo214228,498,672,0,375,3052,255,207,3,9,102,0,2,50,502,638,1405,1076,678,362,142,2,0,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_marine_microorganism
denovo107465,10,1,0,0,25,0,146,4,718,0,2171,17,7,0,49,0,9,0,72,0,44,0,1346,0,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_planctomycete
denovo62659,7,0,0,0,50,0,393,1,1598,0,636,0,3,0,19,0,35,0,168,0,100,1,345,2,Bacteria;  __Candidate_division_WS3;  __uncultured_bacterium
denovo325151,0,0,0,0,8,0,3,0,6,0,1120,267,0,0,1,8,2,0,5,0,0,0,552,205,Bacteria;  __Firmicutes;  __Clostridia;  __Clostridiales;  __Family_XII_Incertae_Sedis;  __Fusibacter;  __uncultured_bacterium
denovo464457,8,1,0,3,65,1,72,8,100,1,2877,523,3,0,39,2,22,1,60,3,0,3,3201,361,Bacteria;  __Lentisphaerae;  __Lentisphaeria;  __Victivallales;  __Victivallaceae;  __uncultured;  __uncultured_bacterium
denovo347193,8,0,1,1,93,0,314,33,722,7,477,722,9,0,23,0,33,5,351,9,22,56,818,487,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Desulfobacteraceae;  __Desulfococcus;  __uncultured_delta_proteobacterium
denovo384835,445,147,0,92,543,11,18,0,1,1,0,0,169,121,2101,486,167,24,26,1,1,0,1,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __NS9_marine_group;  __uncultured_bacterium
denovo36952,3,10,0,104,497,553,314,738,24,917,1,1,4,11,60,238,220,1451,226,2077,6,990,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __MNG3;  __uncultured_bacterium
denovo117584,996,184,0,26,918,10,342,47,59,27,85,126,813,96,968,52,230,11,379,23,2,16,101,41,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Vibrionales;  __Vibrionaceae;  __Photobacterium;  __Photobacterium_leiognathi_subsp._leiognathi
denovo8227,1217,9,0,9,100,0,17,0,0,1,0,1,1527,4,4307,12,61,0,3,0,2,0,3,0,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_planctomycete
denovo70680,0,0,0,36,18,72,55,428,18,202,0,0,0,2,0,11,10,138,7,813,12,1164,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __J8P41000-1F04;  __uncultured_gamma_proteobacterium
denovo46854,10,0,0,0,36,0,133,2,673,1,2455,22,0,0,9,0,24,0,55,0,21,0,1526,21,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Sva0485;  __uncultured_bacterium
denovo76261,1,3,0,68,600,482,407,673,39,814,0,9,0,2,51,242,335,1338,499,1815,1,712,0,3,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rickettsiales;  __SAR116_clade;  __uncultured_bacterium
denovo129787,0,0,0,1,0,4,0,14,3,15,442,3619,0,2,3,0,4,2,3,17,0,9,473,2116,Bacteria;  __Candidate_division_OP3;  __uncultured_bacterium
denovo411422,1,0,0,0,2,2,11,17,6,3,566,2926,0,0,1,0,2,0,8,1,0,4,318,1902,Bacteria;  __Chloroflexi;  __FW22;  __uncultured_bacterium
denovo171136,6,0,0,0,50,0,612,0,730,0,1874,1,0,0,12,0,22,0,205,0,36,0,1279,1,Bacteria;  __Deferribacteres;  __Deferribacterales;  __Family_Incertae_Sedis;  __Caldithrix;  __uncultured_bacterium
denovo298590,1130,8,0,16,1641,9,1499,0,509,1,23,0,433,4,1118,2,1625,4,352,0,29,0,11,4,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Planctomyces;  __uncultured_bacterium
denovo85113,0,1,0,2,0,0,11,0,10,3,1178,2216,0,2,17,8,1,1,0,2,1,1,889,1405,Bacteria;  __Candidate_division_OP3;  __uncultured_bacterium
denovo313321,4,0,0,0,54,0,262,0,1164,0,1826,2,5,0,8,0,16,0,99,1,45,2,770,2,Bacteria;  __Candidate_division_WS3;  __uncultured_bacterium
denovo81201,0,0,0,2,11,1,20,4,32,2,2055,1575,0,0,3,7,3,4,25,4,6,16,1393,891,Bacteria;  __Candidate_division_OP3;  __uncultured_bacterium
denovo88366,218,6,0,3,49,1,9,1,2,0,0,0,40,8,64,0,18,0,7,0,0,0,0,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Bdellovibrionales;  __Bdellovibrionaceae;  __OM27_clade;  __uncultured_delta_proteobacterium
denovo269553,8,0,0,2,78,0,97,1,372,0,1714,4,2,2,26,0,25,1,39,0,28,0,1049,7,Bacteria;  __Proteobacteria;  __Betaproteobacteria;  __Burkholderiales;  __Comamonadaceae;  __uncultured;  __uncultured_gamma_proteobacterium
denovo158950,101,17,0,0,269,3,547,0,113,1,2,0,19,20,98,0,137,0,303,0,5,0,2,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfuromonadales;  __GR-WP33-58;  __uncultured_delta_proteobacterium
denovo161787,0,0,0,18,20,281,23,530,5,981,0,0,0,4,1,1,3,687,1,2987,7,2141,2,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_gamma_proteobacterium
denovo196023,237,218,0,106,648,36,181,0,6,19,0,0,696,117,4533,129,141,112,211,33,1,3,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Deep_1;  __uncultured_bacterium
denovo33597,291,517,0,202,337,240,81,8,10,122,0,1,128,238,1120,467,53,569,168,187,0,8,0,2,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Surface_1;  __uncultured_bacterium
denovo216055,819,23,0,20,84,0,5,0,0,0,0,0,380,16,1296,19,26,3,1,1,0,0,2,1,Bacteria;  __Verrucomicrobia;  __Verrucomicrobiae;  __Verrucomicrobiales;  __DEV007;  __uncultured_bacterium
denovo55890,432,64,0,6,839,13,276,4,16,5,9,0,92,32,369,14,100,1,72,3,1,2,19,2,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Alteromonadales;  __Alteromonadaceae;  __Aestuariibacter;  __uncultured_Alteromonadaceae_bacterium
denovo292530,677,130,0,148,377,2,226,5,37,8,45,48,276,61,3167,48,57,5,87,3,1,10,104,36,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Vibrionales;  __Vibrionaceae;  __Vibrio;  __uncultured_bacterium
denovo152074,2,0,2,0,1,2,15,5,20,3,1332,1551,0,0,2,0,0,2,13,1,2,17,1601,951,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Desulfobacteraceae;  __SEEP-SRB1;  __bacterium_enrichment_culture_clone_AOM-SR-B7
denovo125217,1363,504,0,123,124,7,8,0,0,0,0,0,238,415,878,125,65,21,0,0,1,0,2,0,Bacteria;  __Bacteroidetes;  __Sphingobacteriia;  __Sphingobacteriales;  __WCHB1-69;  __uncultured_Bacteroidetes_bacterium
denovo320526,0,2,0,1,398,1,929,56,610,0,1,1,0,0,73,0,234,2,322,5,28,24,0,0,Bacteria;  __Planctomycetes;  __OM190;  __uncultured_planctomycete
denovo298881,913,23,0,7,42,0,2,0,1,0,0,0,328,19,384,9,16,1,0,2,1,0,1,0,Bacteria;  __Bacteroidetes;  __Flavobacteria;  __Flavobacteriales;  __NS9_marine_group;  __uncultured_marine_bacterium
denovo156828,2,0,0,1,32,0,186,1,955,0,906,136,2,0,8,0,27,0,50,0,33,0,423,91,Bacteria;  __Fibrobacteres;  __Fibrobacteria;  __P.palm_C70;  __uncultured_bacterium
denovo214588,31,590,1,1064,69,362,47,20,1,199,0,0,13,339,66,2081,62,617,24,330,1,28,1,6,Bacteria;  __Acidobacteria;  __DA023;  __uncultured_marine_microorganism
denovo477831,0,0,0,16,426,173,323,810,39,524,0,15,0,2,96,49,125,845,507,2325,5,1347,0,5,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Brocadiales;  __Brocadiaceae;  __Candidatus_Scalindua;  __uncultured_Planctomycetales_bacterium
denovo297202,282,1561,0,1191,46,31,17,3,0,3,0,0,65,1402,435,2003,34,70,2,4,0,1,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __Rhodospirillales;  __Rhodospirillaceae;  __uncultured;  __uncultured_alpha_proteobacterium
denovo409214,1,0,0,12,175,225,621,372,15,709,0,1,1,1,5,3,92,653,41,2507,15,1291,0,1,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Chromatiales;  __Ectothiorhodospiraceae;  __Thiorhodospira;  __uncultured_bacterium
denovo298418,1,0,1,0,38,0,49,18,289,1,4803,384,0,1,0,0,2,0,12,1,24,5,1703,695,Bacteria;  __Bacteroidetes;  __BD2-2;  __uncultured_bacterium
denovo328229,191,182,0,187,1819,180,487,0,1,104,0,0,47,85,1406,631,345,327,634,174,0,0,0,0,Bacteria;  __Chloroflexi;  __SAR202_clade;  __uncultured_Chloroflexi_bacterium
denovo269436,0,0,1,0,1180,26,1227,668,1008,155,0,0,0,0,14,0,643,68,1036,210,136,108,0,0,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_SAR406_cluster_bacterium
denovo286057,457,1,0,12,1147,0,188,0,17,2,1,0,84,3,1963,1,519,2,91,0,0,0,1,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Sh765B-TzT-29;  __uncultured_delta_proteobacterium
denovo14485,6,0,0,0,3,0,16,0,28,0,3097,17,5,0,10,0,0,0,6,0,1,0,1397,4,Bacteria;  __Planctomycetes;  __Phycisphaerae;  __Phycisphaerales;  __ODP1230B30.02_sediment_group;  __uncultured_bacterium
denovo423637,10,0,0,0,41,0,244,0,740,0,740,0,0,0,9,0,24,1,154,0,42,0,450,0,Bacteria;  __Candidate_division_WS3;  __uncultured_bacterium
denovo456595,516,492,0,188,647,175,105,6,9,133,0,0,383,200,2371,381,117,372,172,104,1,3,0,0,Bacteria;  __Proteobacteria;  __Alphaproteobacteria;  __SAR11_clade;  __Deep_1;  __uncultured_bacterium
denovo467415,417,1,0,7,36,0,7,0,0,0,1,0,112,0,543,0,26,0,10,0,0,0,0,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Bdellovibrionales;  __Bdellovibrionaceae;  __OM27_clade;  __uncultured_sediment_bacterium
denovo167218,538,90,0,199,1001,15,112,0,2,1,0,0,80,73,2832,204,657,37,62,1,1,0,3,0,Bacteria;  __Planctomycetes;  __Planctomycetacia;  __Planctomycetales;  __Planctomycetaceae;  __Rhodopirellula;  __uncultured_bacterium
denovo87538,37,223,0,1597,49,123,75,3,2,24,0,0,12,164,323,2219,37,186,47,44,0,1,0,0,Bacteria;  __Proteobacteria;  __Deltaproteobacteria;  __Desulfobacterales;  __Nitrospinaceae;  __Nitrospina;  __uncultured_bacterium
denovo305007,248,1013,0,730,463,169,42,2,1,15,0,1,28,755,437,1757,177,370,26,33,0,0,0,1,Bacteria;  __Deferribacteres;  __Deferribacterales;  __SAR406_clade(Marine_group_A);  __uncultured_Fibrobacteres/Acidobacteria_group_bacterium
denovo404113,0,0,0,21,11,215,25,621,4,577,0,0,0,3,0,6,3,414,9,1619,11,1448,0,1,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Chromatiales;  __Ectothiorhodospiraceae;  __Thiorhodospira;  __uncultured_bacterium
denovo417258,248,659,0,1011,497,283,139,24,29,81,1,0,62,640,653,2365,336,531,59,125,2,16,0,0,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Xanthomonadales;  __Sinobacteraceae;  __uncultured;  __uncultured_bacterium
denovo467731,12,45,0,66,5,0,0,0,0,0,0,4,4,18,23,14,0,5,0,1,0,0,0,1,Bacteria;  __Proteobacteria;  __Gammaproteobacteria;  __Oceanospirillales;  __SAR86_clade;  __uncultured_marine_bacterium
